Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//2.3/stimNo135r0c0v2.3.jpg	 l	 8.206	 GoodTrial	 2.3	 bl
2	 1	 1	 right	 LineStimuli//2.3/stimNo98r12c21v2.3.jpg	 l	 5.545	 GoodTrial	 2.3	 bl
3	 1	 1	 right	 LineStimuli//2.3/stimNo120r4c17v2.3.jpg	 l	 4.760	 GoodTrial	 2.3	 bl
4	 1	 0	 x	 LineStimuli//2.3/stimNo149r0c0v2.3.jpg	 r	 1.552	 GoodTrial	 2.3	 bl
5	 1	 1	 right	 LineStimuli//2.3/stimNo85r4c15v2.3.jpg	 l	 1.498	 GoodTrial	 2.3	 bl
6	 1	 0	 x	 LineStimuli//2.3/stimNo154r0c0v2.3.jpg	 r	 1.464	 GoodTrial	 2.3	 bl
7	 1	 0	 x	 LineStimuli//2.3/stimNo127r0c0v2.3.jpg	 x	 0.016	 EARLY_RESPONSE	 2.3	 bl
8	 1	 1	 right	 LineStimuli//2.3/stimNo99r2c13v2.3.jpg	 l	 2.448	 GoodTrial	 2.3	 bl
9	 1	 0	 x	 LineStimuli//2.3/stimNo130r0c0v2.3.jpg	 r	 2.303	 GoodTrial	 2.3	 bl
10	 1	 0	 x	 LineStimuli//2.3/stimNo148r0c0v2.3.jpg	 r	 2.355	 GoodTrial	 2.3	 bl
11	 1	 0	 x	 LineStimuli//2.3/stimNo146r0c0v2.3.jpg	 r	 1.853	 GoodTrial	 2.3	 bl
12	 1	 0	 x	 LineStimuli//2.3/stimNo156r0c0v2.3.jpg	 l	 4.373	 GoodTrial	 2.3	 bl
13	 1	 1	 right	 LineStimuli//2.3/stimNo93r4c16v2.3.jpg	 r	 2.629	 GoodTrial	 2.3	 bl
14	 1	 1	 left	 LineStimuli//2.3/stimNo94r8c9v2.3.jpg	 l	 2.136	 GoodTrial	 2.3	 bl
15	 1	 0	 x	 LineStimuli//2.3/stimNo142r0c0v2.3.jpg	 l	 2.177	 GoodTrial	 2.3	 bl
16	 1	 1	 left	 LineStimuli//2.3/stimNo86r8c9v2.3.jpg	 r	 2.280	 GoodTrial	 2.3	 bl
17	 1	 0	 x	 LineStimuli//2.3/stimNo140r0c0v2.3.jpg	 x	 1.552	 GoodTrial	 2.3	 bl
18	 1	 1	 left	 LineStimuli//2.3/stimNo112r3c2v2.3.jpg	 x	 1.096	 GoodTrial	 2.3	 bl
19	 1	 0	 x	 LineStimuli//2.3/stimNo152r0c0v2.3.jpg	 r	 4.152	 GoodTrial	 2.3	 bl
20	 1	 1	 left	 LineStimuli//2.3/stimNo108r15c6v2.3.jpg	 r	 2.472	 GoodTrial	 2.3	 bl
21	 1	 1	 left	 LineStimuli//2.3/stimNo117r11c8v2.3.jpg	 l	 1.985	 GoodTrial	 2.3	 bl
22	 1	 0	 x	 LineStimuli//2.3/stimNo137r0c0v2.3.jpg	 l	 1.886	 GoodTrial	 2.3	 bl
23	 1	 0	 x	 LineStimuli//2.3/stimNo150r0c0v2.3.jpg	 l	 1.784	 GoodTrial	 2.3	 bl
24	 1	 1	 right	 LineStimuli//2.3/stimNo89r8c21v2.3.jpg	 l	 2.641	 GoodTrial	 2.3	 bl
25	 1	 0	 x	 LineStimuli//2.3/stimNo151r0c0v2.3.jpg	 l	 4.893	 GoodTrial	 2.3	 bl
26	 1	 0	 x	 LineStimuli//2.3/stimNo126r0c0v2.3.jpg	 r	 2.311	 GoodTrial	 2.3	 bl
27	 1	 1	 left	 LineStimuli//2.3/stimNo82r12c4v2.3.jpg	 l	 1.710	 GoodTrial	 2.3	 bl
28	 1	 0	 x	 LineStimuli//2.3/stimNo132r0c0v2.3.jpg	 r	 2.169	 GoodTrial	 2.3	 bl
29	 1	 1	 left	 LineStimuli//2.3/stimNo114r7c8v2.3.jpg	 l	 2.152	 GoodTrial	 2.3	 bl
30	 1	 1	 left	 LineStimuli//2.3/stimNo81r4c3v2.3.jpg	 r	 2.369	 GoodTrial	 2.3	 bl
31	 1	 0	 x	 LineStimuli//2.3/stimNo122r0c0v2.3.jpg	 r	 1.899	 GoodTrial	 2.3	 bl
32	 1	 1	 right	 LineStimuli//2.3/stimNo103r11c21v2.3.jpg	 l	 2.056	 GoodTrial	 2.3	 bl
33	 1	 1	 right	 LineStimuli//2.3/stimNo110r15c19v2.3.jpg	 r	 1.804	 GoodTrial	 2.3	 bl
34	 1	 0	 x	 LineStimuli//2.3/stimNo158r0c0v2.3.jpg	 r	 2.975	 GoodTrial	 2.3	 bl
35	 1	 1	 left	 LineStimuli//2.3/stimNo95r13c9v2.3.jpg	 r	 2.790	 GoodTrial	 2.3	 bl
36	 1	 0	 x	 LineStimuli//2.3/stimNo121r0c0v2.3.jpg	 l	 2.354	 GoodTrial	 2.3	 bl
37	 1	 0	 x	 LineStimuli//2.3/stimNo123r0c0v2.3.jpg	 l	 1.857	 GoodTrial	 2.3	 bl
38	 1	 1	 right	 LineStimuli//2.3/stimNo90r14c21v2.3.jpg	 l	 1.819	 GoodTrial	 2.3	 bl
39	 1	 0	 x	 LineStimuli//2.3/stimNo141r0c0v2.3.jpg	 l	 2.016	 GoodTrial	 2.3	 bl
40	 1	 0	 x	 LineStimuli//2.3/stimNo131r0c0v2.3.jpg	 l	 2.713	 GoodTrial	 2.3	 bl
41	 1	 1	 left	 LineStimuli//2.3/stimNo119r3c2v2.3.jpg	 l	 1.372	 GoodTrial	 2.3	 bl
42	 1	 1	 right	 LineStimuli//2.3/stimNo91r11c20v2.3.jpg	 l	 2.180	 GoodTrial	 2.3	 bl
43	 1	 0	 x	 LineStimuli//2.3/stimNo125r0c0v2.3.jpg	 l	 2.160	 GoodTrial	 2.3	 bl
44	 1	 1	 right	 LineStimuli//2.3/stimNo84r15c14v2.3.jpg	 l	 2.982	 GoodTrial	 2.3	 bl
45	 1	 0	 x	 LineStimuli//2.3/stimNo155r0c0v2.3.jpg	 r	 3.015	 GoodTrial	 2.3	 bl
46	 1	 1	 right	 LineStimuli//2.3/stimNo105r14c14v2.3.jpg	 l	 2.088	 GoodTrial	 2.3	 bl
47	 1	 1	 right	 LineStimuli//2.3/stimNo109r2c17v2.3.jpg	 r	 1.792	 GoodTrial	 2.3	 bl
48	 1	 1	 left	 LineStimuli//2.3/stimNo116r2c2v2.3.jpg	 x	 1.080	 GoodTrial	 2.3	 bl
49	 1	 1	 left	 LineStimuli//2.3/stimNo113r3c8v2.3.jpg	 r	 1.976	 GoodTrial	 2.3	 bl
50	 1	 0	 x	 LineStimuli//2.3/stimNo144r0c0v2.3.jpg	 r	 1.989	 GoodTrial	 2.3	 bl
1	 2	 0	 x	 LineStimuli//1.5/stimNo141r0c0v1.5.jpg	 r	 3.367	 GoodTrial	 1.5	 bl
2	 2	 1	 right	 LineStimuli//1.5/stimNo101r5c20v1.5.jpg	 r	 2.228	 GoodTrial	 1.5	 bl
