Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 left	 LineStimuli//allStim/stimNo120r5c3v3.8.jpg	 l	 3.520	 GoodTrial	 allStim	 ra
2	 1	 1	 right	 LineStimuli//allStim/stimNo107r2c17v3.3.jpg	 l	 2.261	 GoodTrial	 allStim	 ra
3	 1	 0	 x	 LineStimuli//allStim/stimNo122r0c0v1.5.jpg	 r	 4.464	 GoodTrial	 allStim	 ra
4	 1	 1	 right	 LineStimuli//allStim/stimNo82r11c20v3.3.jpg	 l	 1.895	 GoodTrial	 allStim	 ra
5	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v1.5.jpg	 r	 9.589	 GoodTrial	 allStim	 ra
6	 1	 1	 right	 LineStimuli//allStim/stimNo114r11c21v3.3.jpg	 l	 1.736	 GoodTrial	 allStim	 ra
7	 1	 0	 x	 LineStimuli//allStim/stimNo151r0c0v2.8.jpg	 r	 3.788	 GoodTrial	 allStim	 ra
8	 1	 1	 right	 LineStimuli//allStim/stimNo109r7c17v1.8.jpg	 l	 1.937	 GoodTrial	 allStim	 ra
9	 1	 1	 left	 LineStimuli//allStim/stimNo86r7c7v3.8.jpg	 l	 1.751	 GoodTrial	 allStim	 ra
10	 1	 1	 left	 LineStimuli//allStim/stimNo81r6c8v1.8.jpg	 l	 1.972	 GoodTrial	 allStim	 ra
11	 1	 1	 right	 LineStimuli//allStim/stimNo103r3c19v2.8.jpg	 l	 1.679	 GoodTrial	 allStim	 ra
12	 1	 1	 left	 LineStimuli//allStim/stimNo91r2c3v2.8.jpg	 l	 1.935	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo138r0c0v4.3.jpg	 r	 2.154	 GoodTrial	 allStim	 ra
14	 1	 1	 right	 LineStimuli//allStim/stimNo116r5c13v4.3.jpg	 l	 1.612	 GoodTrial	 allStim	 ra
15	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v2.3.jpg	 r	 2.749	 GoodTrial	 allStim	 ra
16	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v1.8.jpg	 r	 2.105	 GoodTrial	 allStim	 ra
17	 1	 0	 x	 LineStimuli//allStim/stimNo152r0c0v3.3.jpg	 r	 2.212	 GoodTrial	 allStim	 ra
18	 1	 0	 x	 LineStimuli//allStim/stimNo126r0c0v4.3.jpg	 r	 2.177	 GoodTrial	 allStim	 ra
19	 1	 1	 left	 LineStimuli//allStim/stimNo115r14c10v3.8.jpg	 l	 2.712	 GoodTrial	 allStim	 ra
20	 1	 1	 left	 LineStimuli//allStim/stimNo113r9c5v2.8.jpg	 l	 1.909	 GoodTrial	 allStim	 ra
21	 1	 1	 left	 LineStimuli//allStim/stimNo93r8c2v3.8.jpg	 l	 1.857	 GoodTrial	 allStim	 ra
22	 1	 1	 left	 LineStimuli//allStim/stimNo115r3c4v3.3.jpg	 l	 1.643	 GoodTrial	 allStim	 ra
23	 1	 1	 left	 LineStimuli//allStim/stimNo108r5c8v4.3.jpg	 l	 1.564	 GoodTrial	 allStim	 ra
24	 1	 1	 right	 LineStimuli//allStim/stimNo107r2c19v1.5.jpg	 r	 2.179	 GoodTrial	 allStim	 ra
25	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.8.jpg	 r	 3.839	 GoodTrial	 allStim	 ra
26	 1	 0	 x	 LineStimuli//allStim/stimNo136r0c0v1.5.jpg	 r	 4.790	 GoodTrial	 allStim	 ra
27	 1	 1	 left	 LineStimuli//allStim/stimNo96r3c3v2.3.jpg	 l	 1.856	 GoodTrial	 allStim	 ra
28	 1	 1	 right	 LineStimuli//allStim/stimNo95r9c18v2.8.jpg	 l	 1.849	 GoodTrial	 allStim	 ra
29	 1	 0	 x	 LineStimuli//allStim/stimNo125r0c0v2.3.jpg	 r	 3.311	 GoodTrial	 allStim	 ra
30	 1	 1	 right	 LineStimuli//allStim/stimNo103r13c17v1.5.jpg	 r	 3.488	 GoodTrial	 allStim	 ra
31	 1	 1	 left	 LineStimuli//allStim/stimNo83r9c9v3.8.jpg	 l	 1.769	 GoodTrial	 allStim	 ra
32	 1	 1	 right	 LineStimuli//allStim/stimNo118r5c16v2.8.jpg	 l	 1.646	 GoodTrial	 allStim	 ra
33	 1	 1	 right	 LineStimuli//allStim/stimNo102r10c19v4.3.jpg	 l	 1.716	 GoodTrial	 allStim	 ra
34	 1	 1	 right	 LineStimuli//allStim/stimNo85r4c15v2.3.jpg	 l	 1.704	 GoodTrial	 allStim	 ra
35	 1	 1	 right	 LineStimuli//allStim/stimNo85r4c15v2.8.jpg	 l	 1.672	 GoodTrial	 allStim	 ra
36	 1	 1	 left	 LineStimuli//allStim/stimNo107r5c4v1.8.jpg	 l	 3.794	 GoodTrial	 allStim	 ra
37	 1	 1	 right	 LineStimuli//allStim/stimNo115r10c18v4.3.jpg	 l	 1.652	 GoodTrial	 allStim	 ra
38	 1	 0	 x	 LineStimuli//allStim/stimNo127r0c0v2.3.jpg	 r	 3.742	 GoodTrial	 allStim	 ra
39	 1	 0	 x	 LineStimuli//allStim/stimNo123r0c0v2.3.jpg	 r	 3.208	 GoodTrial	 allStim	 ra
40	 1	 1	 left	 LineStimuli//allStim/stimNo117r2c5v3.3.jpg	 l	 1.840	 GoodTrial	 allStim	 ra
41	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v1.5.jpg	 r	 4.457	 GoodTrial	 allStim	 ra
42	 1	 1	 left	 LineStimuli//allStim/stimNo105r5c4v2.8.jpg	 l	 1.732	 GoodTrial	 allStim	 ra
43	 1	 1	 left	 LineStimuli//allStim/stimNo115r5c9v1.8.jpg	 l	 1.855	 GoodTrial	 allStim	 ra
44	 1	 0	 x	 LineStimuli//allStim/stimNo126r0c0v3.8.jpg	 r	 2.206	 GoodTrial	 allStim	 ra
45	 1	 1	 right	 LineStimuli//allStim/stimNo108r13c15v1.5.jpg	 r	 3.169	 GoodTrial	 allStim	 ra
46	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v3.8.jpg	 r	 4.703	 GoodTrial	 allStim	 ra
47	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v2.8.jpg	 r	 3.687	 GoodTrial	 allStim	 ra
48	 1	 0	 x	 LineStimuli//allStim/stimNo124r0c0v2.3.jpg	 r	 4.306	 GoodTrial	 allStim	 ra
49	 1	 1	 right	 LineStimuli//allStim/stimNo109r15c15v4.3.jpg	 l	 1.918	 GoodTrial	 allStim	 ra
50	 1	 0	 x	 LineStimuli//allStim/stimNo152r0c0v2.8.jpg	 r	 4.175	 GoodTrial	 allStim	 ra
1	 2	 1	 left	 LineStimuli//allStim/stimNo114r4c4v1.5.jpg	 l	 1.895	 GoodTrial	 allStim	 ra
2	 2	 1	 left	 LineStimuli//allStim/stimNo103r15c10v1.8.jpg	 l	 3.439	 GoodTrial	 allStim	 ra
3	 2	 1	 right	 LineStimuli//allStim/stimNo109r2c17v2.3.jpg	 l	 1.779	 GoodTrial	 allStim	 ra
4	 2	 0	 x	 LineStimuli//allStim/stimNo126r0c0v1.8.jpg	 r	 4.329	 GoodTrial	 allStim	 ra
5	 2	 1	 right	 LineStimuli//allStim/stimNo111r15c20v3.8.jpg	 l	 1.952	 GoodTrial	 allStim	 ra
6	 2	 0	 x	 LineStimuli//allStim/stimNo129r0c0v2.8.jpg	 r	 3.762	 GoodTrial	 allStim	 ra
7	 2	 0	 x	 LineStimuli//allStim/stimNo156r0c0v2.8.jpg	 r	 3.348	 GoodTrial	 allStim	 ra
8	 2	 1	 left	 LineStimuli//allStim/stimNo119r15c7v3.3.jpg	 l	 1.962	 GoodTrial	 allStim	 ra
9	 2	 0	 x	 LineStimuli//allStim/stimNo152r0c0v1.8.jpg	 r	 4.774	 GoodTrial	 allStim	 ra
10	 2	 1	 right	 LineStimuli//allStim/stimNo82r11c20v3.3.jpg	 l	 1.618	 GoodTrial	 allStim	 ra
11	 2	 1	 right	 LineStimuli//allStim/stimNo114r10c15v4.3.jpg	 l	 1.680	 GoodTrial	 allStim	 ra
12	 2	 1	 left	 LineStimuli//allStim/stimNo116r2c2v2.3.jpg	 l	 2.528	 GoodTrial	 allStim	 ra
13	 2	 1	 left	 LineStimuli//allStim/stimNo96r3c3v2.3.jpg	 l	 1.635	 GoodTrial	 allStim	 ra
14	 2	 1	 right	 LineStimuli//allStim/stimNo84r15c14v2.3.jpg	 l	 2.117	 GoodTrial	 allStim	 ra
15	 2	 1	 right	 LineStimuli//allStim/stimNo112r5c15v3.3.jpg	 l	 1.617	 GoodTrial	 allStim	 ra
16	 2	 0	 x	 LineStimuli//allStim/stimNo144r0c0v2.8.jpg	 l	 3.449	 GoodTrial	 allStim	 ra
17	 2	 0	 x	 LineStimuli//allStim/stimNo155r0c0v3.3.jpg	 r	 6.670	 GoodTrial	 allStim	 ra
18	 2	 0	 x	 LineStimuli//allStim/stimNo157r0c0v4.3.jpg	 r	 4.690	 GoodTrial	 allStim	 ra
19	 2	 1	 right	 LineStimuli//allStim/stimNo118r11c15v1.8.jpg	 l	 3.409	 GoodTrial	 allStim	 ra
20	 2	 1	 left	 LineStimuli//allStim/stimNo94r13c7v2.8.jpg	 l	 1.849	 GoodTrial	 allStim	 ra
21	 2	 1	 right	 LineStimuli//allStim/stimNo114r8c13v1.8.jpg	 l	 1.733	 GoodTrial	 allStim	 ra
22	 2	 1	 left	 LineStimuli//allStim/stimNo83r14c4v2.3.jpg	 l	 2.038	 GoodTrial	 allStim	 ra
23	 2	 0	 x	 LineStimuli//allStim/stimNo122r0c0v1.5.jpg	 r	 6.037	 GoodTrial	 allStim	 ra
24	 2	 1	 left	 LineStimuli//allStim/stimNo83r9c9v3.8.jpg	 l	 1.720	 GoodTrial	 allStim	 ra
25	 2	 0	 x	 LineStimuli//allStim/stimNo146r0c0v1.5.jpg	 r	 6.302	 GoodTrial	 allStim	 ra
26	 2	 0	 x	 LineStimuli//allStim/stimNo155r0c0v1.8.jpg	 r	 5.382	 GoodTrial	 allStim	 ra
27	 2	 0	 x	 LineStimuli//allStim/stimNo140r0c0v2.3.jpg	 r	 4.009	 GoodTrial	 allStim	 ra
28	 2	 1	 right	 LineStimuli//allStim/stimNo87r6c13v3.8.jpg	 l	 1.694	 GoodTrial	 allStim	 ra
29	 2	 1	 left	 LineStimuli//allStim/stimNo113r14c9v3.8.jpg	 l	 1.899	 GoodTrial	 allStim	 ra
30	 2	 0	 x	 LineStimuli//allStim/stimNo142r0c0v2.8.jpg	 r	 5.048	 GoodTrial	 allStim	 ra
31	 2	 1	 right	 LineStimuli//allStim/stimNo111r4c21v1.8.jpg	 l	 2.200	 GoodTrial	 allStim	 ra
32	 2	 0	 x	 LineStimuli//allStim/stimNo157r0c0v1.8.jpg	 r	 5.028	 GoodTrial	 allStim	 ra
33	 2	 0	 x	 LineStimuli//allStim/stimNo123r0c0v1.5.jpg	 r	 5.427	 GoodTrial	 allStim	 ra
34	 2	 0	 x	 LineStimuli//allStim/stimNo148r0c0v2.8.jpg	 r	 4.583	 GoodTrial	 allStim	 ra
35	 2	 0	 x	 LineStimuli//allStim/stimNo141r0c0v2.8.jpg	 r	 3.157	 GoodTrial	 allStim	 ra
36	 2	 0	 x	 LineStimuli//allStim/stimNo137r0c0v2.8.jpg	 r	 3.026	 GoodTrial	 allStim	 ra
37	 2	 0	 x	 LineStimuli//allStim/stimNo145r0c0v4.3.jpg	 r	 2.781	 GoodTrial	 allStim	 ra
38	 2	 0	 x	 LineStimuli//allStim/stimNo155r0c0v2.3.jpg	 r	 3.881	 GoodTrial	 allStim	 ra
39	 2	 1	 right	 LineStimuli//allStim/stimNo89r5c21v3.3.jpg	 l	 2.160	 GoodTrial	 allStim	 ra
40	 2	 1	 right	 LineStimuli//allStim/stimNo103r13c17v1.5.jpg	 l	 4.076	 GoodTrial	 allStim	 ra
41	 2	 1	 right	 LineStimuli//allStim/stimNo110r7c14v2.8.jpg	 l	 1.698	 GoodTrial	 allStim	 ra
42	 2	 1	 left	 LineStimuli//allStim/stimNo108r13c2v3.3.jpg	 l	 1.813	 GoodTrial	 allStim	 ra
43	 2	 1	 left	 LineStimuli//allStim/stimNo104r12c8v3.8.jpg	 l	 1.555	 GoodTrial	 allStim	 ra
44	 2	 1	 left	 LineStimuli//allStim/stimNo85r2c5v1.5.jpg	 r	 4.009	 GoodTrial	 allStim	 ra
45	 2	 0	 x	 LineStimuli//allStim/stimNo138r0c0v1.8.jpg	 r	 5.324	 GoodTrial	 allStim	 ra
46	 2	 1	 left	 LineStimuli//allStim/stimNo118r4c8v3.8.jpg	 l	 1.728	 GoodTrial	 allStim	 ra
47	 2	 1	 left	 LineStimuli//allStim/stimNo91r2c3v2.8.jpg	 l	 2.175	 GoodTrial	 allStim	 ra
48	 2	 1	 right	 LineStimuli//allStim/stimNo118r11c13v4.3.jpg	 l	 1.808	 GoodTrial	 allStim	 ra
49	 2	 1	 left	 LineStimuli//allStim/stimNo105r14c6v4.3.jpg	 l	 1.625	 GoodTrial	 allStim	 ra
50	 2	 1	 right	 LineStimuli//allStim/stimNo96r4c19v4.3.jpg	 l	 1.629	 GoodTrial	 allStim	 ra
1	 3	 1	 left	 LineStimuli//allStim/stimNo94r13c7v2.8.jpg	 l	 1.911	 GoodTrial	 allStim	 ra
2	 3	 1	 right	 LineStimuli//allStim/stimNo111r7c17v1.5.jpg	 l	 2.556	 GoodTrial	 allStim	 ra
3	 3	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.3.jpg	 r	 3.645	 GoodTrial	 allStim	 ra
4	 3	 1	 right	 LineStimuli//allStim/stimNo89r5c21v3.3.jpg	 l	 1.722	 GoodTrial	 allStim	 ra
5	 3	 1	 left	 LineStimuli//allStim/stimNo120r5c3v3.8.jpg	 l	 1.627	 GoodTrial	 allStim	 ra
6	 3	 1	 right	 LineStimuli//allStim/stimNo116r5c13v4.3.jpg	 l	 1.583	 GoodTrial	 allStim	 ra
7	 3	 0	 x	 LineStimuli//allStim/stimNo121r0c0v3.8.jpg	 r	 4.225	 GoodTrial	 allStim	 ra
8	 3	 0	 x	 LineStimuli//allStim/stimNo145r0c0v4.3.jpg	 r	 2.671	 GoodTrial	 allStim	 ra
9	 3	 1	 left	 LineStimuli//allStim/stimNo105r2c6v3.8.jpg	 l	 1.916	 GoodTrial	 allStim	 ra
10	 3	 0	 x	 LineStimuli//allStim/stimNo138r0c0v3.8.jpg	 r	 2.543	 GoodTrial	 allStim	 ra
11	 3	 1	 left	 LineStimuli//allStim/stimNo83r9c9v3.8.jpg	 l	 1.816	 GoodTrial	 allStim	 ra
12	 3	 1	 right	 LineStimuli//allStim/stimNo118r5c16v2.8.jpg	 l	 1.710	 GoodTrial	 allStim	 ra
13	 3	 0	 x	 LineStimuli//allStim/stimNo158r0c0v4.3.jpg	 r	 3.671	 GoodTrial	 allStim	 ra
14	 3	 0	 x	 LineStimuli//allStim/stimNo132r0c0v4.3.jpg	 r	 2.633	 GoodTrial	 allStim	 ra
15	 3	 1	 left	 LineStimuli//allStim/stimNo85r2c5v1.5.jpg	 r	 4.550	 GoodTrial	 allStim	 ra
16	 3	 1	 right	 LineStimuli//allStim/stimNo84r9c19v3.8.jpg	 l	 2.058	 GoodTrial	 allStim	 ra
17	 3	 0	 x	 LineStimuli//allStim/stimNo144r0c0v2.8.jpg	 r	 5.537	 GoodTrial	 allStim	 ra
18	 3	 1	 right	 LineStimuli//allStim/stimNo90r8c17v3.8.jpg	 l	 1.741	 GoodTrial	 allStim	 ra
19	 3	 0	 x	 LineStimuli//allStim/stimNo137r0c0v4.3.jpg	 r	 4.984	 GoodTrial	 allStim	 ra
20	 3	 1	 right	 LineStimuli//allStim/stimNo100r9c13v1.8.jpg	 l	 2.257	 GoodTrial	 allStim	 ra
21	 3	 1	 right	 LineStimuli//allStim/stimNo96r4c19v4.3.jpg	 l	 1.639	 GoodTrial	 allStim	 ra
22	 3	 1	 right	 LineStimuli//allStim/stimNo99r12c16v1.8.jpg	 l	 1.975	 GoodTrial	 allStim	 ra
23	 3	 0	 x	 LineStimuli//allStim/stimNo150r0c0v1.8.jpg	 r	 6.178	 GoodTrial	 allStim	 ra
24	 3	 1	 left	 LineStimuli//allStim/stimNo116r4c7v2.8.jpg	 l	 1.716	 GoodTrial	 allStim	 ra
25	 3	 1	 left	 LineStimuli//allStim/stimNo95r13c9v2.3.jpg	 l	 2.561	 GoodTrial	 allStim	 ra
26	 3	 1	 right	 LineStimuli//allStim/stimNo97r6c13v3.3.jpg	 l	 1.617	 GoodTrial	 allStim	 ra
27	 3	 0	 x	 LineStimuli//allStim/stimNo135r0c0v4.3.jpg	 r	 2.757	 GoodTrial	 allStim	 ra
28	 3	 1	 right	 LineStimuli//allStim/stimNo102r6c18v2.3.jpg	 l	 1.666	 GoodTrial	 allStim	 ra
29	 3	 0	 x	 LineStimuli//allStim/stimNo151r0c0v1.5.jpg	 r	 4.537	 GoodTrial	 allStim	 ra
30	 3	 1	 left	 LineStimuli//allStim/stimNo113r4c4v1.5.jpg	 l	 2.823	 GoodTrial	 allStim	 ra
31	 3	 1	 left	 LineStimuli//allStim/stimNo90r2c9v3.3.jpg	 l	 1.705	 GoodTrial	 allStim	 ra
32	 3	 0	 x	 LineStimuli//allStim/stimNo132r0c0v2.3.jpg	 r	 3.165	 GoodTrial	 allStim	 ra
33	 3	 0	 x	 LineStimuli//allStim/stimNo134r0c0v1.5.jpg	 r	 3.161	 GoodTrial	 allStim	 ra
34	 3	 0	 x	 LineStimuli//allStim/stimNo160r0c0v1.5.jpg	 r	 2.976	 GoodTrial	 allStim	 ra
35	 3	 0	 x	 LineStimuli//allStim/stimNo160r0c0v4.3.jpg	 r	 2.753	 GoodTrial	 allStim	 ra
36	 3	 0	 x	 LineStimuli//allStim/stimNo143r0c0v1.5.jpg	 r	 3.423	 GoodTrial	 allStim	 ra
