Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//1.5/stimNo142r0c0v1.5.jpg	 r	 24.871	 GoodTrial	 1.5	 bl
2	 1	 1	 right	 LineStimuli//1.5/stimNo118r9c20v1.5.jpg	 l	 10.244	 GoodTrial	 1.5	 bl
3	 1	 0	 x	 LineStimuli//1.5/stimNo144r0c0v1.5.jpg	 r	 19.345	 GoodTrial	 1.5	 bl
4	 1	 1	 left	 LineStimuli//1.5/stimNo110r7c3v1.5.jpg	 l	 17.953	 GoodTrial	 1.5	 bl
5	 1	 1	 left	 LineStimuli//1.5/stimNo99r10c3v1.5.jpg	 r	 28.570	 GoodTrial	 1.5	 bl
6	 1	 1	 right	 LineStimuli//1.5/stimNo90r3c15v1.5.jpg	 r	 19.631	 GoodTrial	 1.5	 bl
7	 1	 1	 left	 LineStimuli//1.5/stimNo109r8c6v1.5.jpg	 l	 22.415	 GoodTrial	 1.5	 bl
8	 1	 0	 x	 LineStimuli//1.5/stimNo137r0c0v1.5.jpg	 l	 10.192	 GoodTrial	 1.5	 bl
9	 1	 0	 x	 LineStimuli//1.5/stimNo133r0c0v1.5.jpg	 l	 20.881	 GoodTrial	 1.5	 bl
10	 1	 0	 x	 LineStimuli//1.5/stimNo125r0c0v1.5.jpg	 l	 13.463	 GoodTrial	 1.5	 bl
11	 1	 1	 left	 LineStimuli//1.5/stimNo83r12c7v1.5.jpg	 l	 13.884	 GoodTrial	 1.5	 bl
12	 1	 1	 right	 LineStimuli//1.5/stimNo81r6c17v1.5.jpg	 l	 16.453	 GoodTrial	 1.5	 bl
13	 1	 0	 x	 LineStimuli//1.5/stimNo145r0c0v1.5.jpg	 r	 31.745	 GoodTrial	 1.5	 bl
14	 1	 0	 x	 LineStimuli//1.5/stimNo134r0c0v1.5.jpg	 r	 29.474	 GoodTrial	 1.5	 bl
15	 1	 0	 x	 LineStimuli//1.5/stimNo135r0c0v1.5.jpg	 r	 35.333	 GoodTrial	 1.5	 bl
16	 1	 0	 x	 LineStimuli//1.5/stimNo136r0c0v1.5.jpg	 r	 26.111	 GoodTrial	 1.5	 bl
17	 1	 1	 right	 LineStimuli//1.5/stimNo100r6c20v1.5.jpg	 r	 31.462	 GoodTrial	 1.5	 bl
18	 1	 0	 x	 LineStimuli//1.5/stimNo138r0c0v1.5.jpg	 r	 38.231	 GoodTrial	 1.5	 bl
19	 1	 0	 x	 LineStimuli//1.5/stimNo156r0c0v1.5.jpg	 l	 24.625	 GoodTrial	 1.5	 bl
20	 1	 0	 x	 LineStimuli//1.5/stimNo159r0c0v1.5.jpg	 r	 39.960	 GoodTrial	 1.5	 bl
21	 1	 0	 x	 LineStimuli//1.5/stimNo146r0c0v1.5.jpg	 l	 31.224	 GoodTrial	 1.5	 bl
22	 1	 1	 right	 LineStimuli//1.5/stimNo92r6c18v1.5.jpg	 l	 8.722	 GoodTrial	 1.5	 bl
23	 1	 1	 left	 LineStimuli//1.5/stimNo120r14c2v1.5.jpg	 r	 27.951	 GoodTrial	 1.5	 bl
24	 1	 1	 left	 LineStimuli//1.5/stimNo91r9c3v1.5.jpg	 l	 25.816	 GoodTrial	 1.5	 bl
25	 1	 1	 left	 LineStimuli//1.5/stimNo96r15c4v1.5.jpg	 l	 28.160	 GoodTrial	 1.5	 bl
26	 1	 0	 x	 LineStimuli//1.5/stimNo124r0c0v1.5.jpg	 l	 13.472	 GoodTrial	 1.5	 bl
27	 1	 0	 x	 LineStimuli//1.5/stimNo148r0c0v1.5.jpg	 l	 27.007	 GoodTrial	 1.5	 bl
28	 1	 1	 left	 LineStimuli//1.5/stimNo114r4c4v1.5.jpg	 l	 4.964	 GoodTrial	 1.5	 bl
29	 1	 1	 right	 LineStimuli//1.5/stimNo103r13c17v1.5.jpg	 l	 9.217	 GoodTrial	 1.5	 bl
30	 1	 0	 x	 LineStimuli//1.5/stimNo127r0c0v1.5.jpg	 l	 5.996	 GoodTrial	 1.5	 bl
31	 1	 1	 left	 LineStimuli//1.5/stimNo85r2c5v1.5.jpg	 x	 19.610	 GoodTrial	 1.5	 bl
32	 1	 0	 x	 LineStimuli//1.5/stimNo160r0c0v1.5.jpg	 l	 17.280	 GoodTrial	 1.5	 bl
33	 1	 1	 right	 LineStimuli//1.5/stimNo105r3c18v1.5.jpg	 r	 23.042	 GoodTrial	 1.5	 bl
