Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 right	 LineStimuli//allStim/stimNo112r10c16v4.3.jpg	 l	 29.897	 GoodTrial	 allStim	 ra
2	 1	 1	 left	 LineStimuli//allStim/stimNo113r6c7v1.8.jpg	 l	 48.545	 GoodTrial	 allStim	 ra
3	 1	 1	 left	 LineStimuli//allStim/stimNo93r8c2v3.8.jpg	 l	 42.367	 GoodTrial	 allStim	 ra
4	 1	 1	 left	 LineStimuli//allStim/stimNo96r13c2v1.8.jpg	 x	 0.000	 GoodTrial	 allStim	 ra
5	 1	 1	 left	 LineStimuli//allStim/stimNo108r13c2v3.3.jpg	 l	 36.428	 GoodTrial	 allStim	 ra
6	 1	 0	 x	 LineStimuli//allStim/stimNo147r0c0v2.8.jpg	 r	 34.601	 GoodTrial	 allStim	 ra
7	 1	 0	 x	 LineStimuli//allStim/stimNo129r0c0v3.8.jpg	 r	 47.206	 GoodTrial	 allStim	 ra
8	 1	 1	 right	 LineStimuli//allStim/stimNo106r13c20v2.8.jpg	 l	 52.481	 GoodTrial	 allStim	 ra
9	 1	 1	 left	 LineStimuli//allStim/stimNo86r8c9v2.3.jpg	 l	 23.407	 GoodTrial	 allStim	 ra
10	 1	 0	 x	 LineStimuli//allStim/stimNo130r0c0v1.8.jpg	 r	 58.684	 GoodTrial	 allStim	 ra
11	 1	 1	 left	 LineStimuli//allStim/stimNo110r4c7v1.8.jpg	 r	 35.840	 GoodTrial	 allStim	 ra
12	 1	 0	 x	 LineStimuli//allStim/stimNo130r0c0v3.8.jpg	 r	 38.896	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo128r0c0v3.8.jpg	 r	 50.835	 GoodTrial	 allStim	 ra
14	 1	 1	 left	 LineStimuli//allStim/stimNo83r9c9v3.8.jpg	 l	 10.852	 GoodTrial	 allStim	 ra
15	 1	 0	 x	 LineStimuli//allStim/stimNo141r0c0v1.8.jpg	 x	 0.000	 GoodTrial	 allStim	 ra
16	 1	 1	 right	 LineStimuli//allStim/stimNo97r15c18v1.8.jpg	 l	 42.836	 GoodTrial	 allStim	 ra
17	 1	 1	 right	 LineStimuli//allStim/stimNo118r11c15v1.8.jpg	 r	 41.841	 GoodTrial	 allStim	 ra
18	 1	 1	 right	 LineStimuli//allStim/stimNo110r7c14v2.8.jpg	 l	 23.587	 GoodTrial	 allStim	 ra
19	 1	 1	 right	 LineStimuli//allStim/stimNo90r14c21v2.3.jpg	 l	 15.875	 GoodTrial	 allStim	 ra
20	 1	 1	 right	 LineStimuli//allStim/stimNo114r10c14v3.8.jpg	 l	 5.904	 GoodTrial	 allStim	 ra
21	 1	 1	 right	 LineStimuli//allStim/stimNo87r13c19v2.3.jpg	 l	 29.480	 GoodTrial	 allStim	 ra
22	 1	 0	 x	 LineStimuli//allStim/stimNo135r0c0v2.3.jpg	 r	 54.937	 GoodTrial	 allStim	 ra
23	 1	 1	 right	 LineStimuli//allStim/stimNo86r6c16v1.5.jpg	 l	 27.353	 GoodTrial	 allStim	 ra
24	 1	 0	 x	 LineStimuli//allStim/stimNo133r0c0v3.8.jpg	 r	 42.463	 GoodTrial	 allStim	 ra
25	 1	 0	 x	 LineStimuli//allStim/stimNo134r0c0v1.5.jpg	 x	 0.000	 GoodTrial	 allStim	 ra
26	 1	 1	 right	 LineStimuli//allStim/stimNo96r4c19v4.3.jpg	 l	 6.059	 GoodTrial	 allStim	 ra
27	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v3.3.jpg	 r	 13.838	 GoodTrial	 allStim	 ra
28	 1	 0	 x	 LineStimuli//allStim/stimNo132r0c0v2.3.jpg	 r	 23.883	 GoodTrial	 allStim	 ra
29	 1	 1	 left	 LineStimuli//allStim/stimNo88r15c9v1.8.jpg	 l	 20.314	 GoodTrial	 allStim	 ra
30	 1	 1	 right	 LineStimuli//allStim/stimNo96r2c13v3.8.jpg	 l	 2.593	 GoodTrial	 allStim	 ra
31	 1	 1	 right	 LineStimuli//allStim/stimNo110r15c19v2.3.jpg	 l	 4.468	 GoodTrial	 allStim	 ra
32	 1	 0	 x	 LineStimuli//allStim/stimNo159r0c0v4.3.jpg	 r	 7.729	 GoodTrial	 allStim	 ra
33	 1	 0	 x	 LineStimuli//allStim/stimNo159r0c0v2.8.jpg	 r	 11.391	 GoodTrial	 allStim	 ra
34	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v3.3.jpg	 r	 10.121	 GoodTrial	 allStim	 ra
35	 1	 0	 x	 LineStimuli//allStim/stimNo157r0c0v1.8.jpg	 r	 18.418	 GoodTrial	 allStim	 ra
36	 1	 0	 x	 LineStimuli//allStim/stimNo122r0c0v3.3.jpg	 r	 11.240	 GoodTrial	 allStim	 ra
37	 1	 0	 x	 LineStimuli//allStim/stimNo151r0c0v2.8.jpg	 r	 15.315	 GoodTrial	 allStim	 ra
38	 1	 1	 left	 LineStimuli//allStim/stimNo93r3c5v3.3.jpg	 l	 2.181	 GoodTrial	 allStim	 ra
39	 1	 0	 x	 LineStimuli//allStim/stimNo136r0c0v1.5.jpg	 r	 38.734	 GoodTrial	 allStim	 ra
40	 1	 1	 right	 LineStimuli//allStim/stimNo107r11c15v2.3.jpg	 l	 15.192	 GoodTrial	 allStim	 ra
41	 1	 0	 x	 LineStimuli//allStim/stimNo122r0c0v3.8.jpg	 r	 14.778	 GoodTrial	 allStim	 ra
42	 1	 1	 left	 LineStimuli//allStim/stimNo120r14c2v1.5.jpg	 r	 38.629	 GoodTrial	 allStim	 ra
43	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v3.8.jpg	 r	 18.024	 GoodTrial	 allStim	 ra
44	 1	 0	 x	 LineStimuli//allStim/stimNo132r0c0v2.8.jpg	 r	 28.297	 GoodTrial	 allStim	 ra
45	 1	 0	 x	 LineStimuli//allStim/stimNo145r0c0v1.5.jpg	 r	 43.757	 GoodTrial	 allStim	 ra
46	 1	 1	 left	 LineStimuli//allStim/stimNo109r11c8v3.8.jpg	 l	 3.108	 GoodTrial	 allStim	 ra
47	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v1.8.jpg	 r	 44.967	 GoodTrial	 allStim	 ra
48	 1	 1	 left	 LineStimuli//allStim/stimNo83r12c4v2.8.jpg	 l	 3.070	 GoodTrial	 allStim	 ra
49	 1	 1	 left	 LineStimuli//allStim/stimNo100r8c3v4.3.jpg	 l	 2.320	 GoodTrial	 allStim	 ra
50	 1	 1	 left	 LineStimuli//allStim/stimNo113r3c8v2.3.jpg	 l	 2.755	 GoodTrial	 allStim	 ra
1	 2	 0	 x	 LineStimuli//allStim/stimNo132r0c0v2.3.jpg	 r	 14.125	 GoodTrial	 allStim	 ra
2	 2	 0	 x	 LineStimuli//allStim/stimNo149r0c0v3.8.jpg	 r	 9.272	 GoodTrial	 allStim	 ra
3	 2	 0	 x	 LineStimuli//allStim/stimNo134r0c0v1.5.jpg	 r	 20.615	 GoodTrial	 allStim	 ra
4	 2	 0	 x	 LineStimuli//allStim/stimNo131r0c0v3.8.jpg	 r	 5.652	 GoodTrial	 allStim	 ra
5	 2	 1	 right	 LineStimuli//allStim/stimNo102r6c18v2.3.jpg	 l	 3.463	 GoodTrial	 allStim	 ra
6	 2	 1	 left	 LineStimuli//allStim/stimNo116r4c7v1.8.jpg	 r	 21.124	 GoodTrial	 allStim	 ra
7	 2	 1	 right	 LineStimuli//allStim/stimNo83r6c13v1.8.jpg	 l	 21.510	 GoodTrial	 allStim	 ra
8	 2	 1	 left	 LineStimuli//allStim/stimNo96r15c4v1.5.jpg	 l	 23.353	 GoodTrial	 allStim	 ra
9	 2	 1	 left	 LineStimuli//allStim/stimNo97r15c6v1.5.jpg	 l	 7.504	 GoodTrial	 allStim	 ra
10	 2	 0	 x	 LineStimuli//allStim/stimNo135r0c0v4.3.jpg	 r	 8.112	 GoodTrial	 allStim	 ra
11	 2	 1	 right	 LineStimuli//allStim/stimNo91r10c16v3.8.jpg	 l	 2.148	 GoodTrial	 allStim	 ra
12	 2	 1	 left	 LineStimuli//allStim/stimNo116r4c7v2.8.jpg	 l	 2.807	 GoodTrial	 allStim	 ra
13	 2	 0	 x	 LineStimuli//allStim/stimNo149r0c0v1.8.jpg	 r	 23.823	 GoodTrial	 allStim	 ra
14	 2	 1	 left	 LineStimuli//allStim/stimNo117r2c5v3.3.jpg	 l	 2.125	 GoodTrial	 allStim	 ra
15	 2	 1	 left	 LineStimuli//allStim/stimNo104r4c4v3.3.jpg	 l	 1.995	 GoodTrial	 allStim	 ra
16	 2	 0	 x	 LineStimuli//allStim/stimNo127r0c0v2.8.jpg	 r	 11.033	 GoodTrial	 allStim	 ra
17	 2	 0	 x	 LineStimuli//allStim/stimNo124r0c0v2.3.jpg	 r	 8.760	 GoodTrial	 allStim	 ra
18	 2	 1	 right	 LineStimuli//allStim/stimNo81r10c14v4.3.jpg	 l	 1.800	 GoodTrial	 allStim	 ra
19	 2	 1	 left	 LineStimuli//allStim/stimNo106r13c9v1.8.jpg	 l	 3.776	 GoodTrial	 allStim	 ra
20	 2	 1	 right	 LineStimuli//allStim/stimNo114r8c13v1.8.jpg	 l	 2.800	 GoodTrial	 allStim	 ra
21	 2	 0	 x	 LineStimuli//allStim/stimNo147r0c0v4.3.jpg	 r	 7.384	 GoodTrial	 allStim	 ra
22	 2	 1	 left	 LineStimuli//allStim/stimNo89r8c9v1.5.jpg	 r	 29.228	 GoodTrial	 allStim	 ra
23	 2	 0	 x	 LineStimuli//allStim/stimNo149r0c0v2.3.jpg	 r	 32.867	 GoodTrial	 allStim	 ra
24	 2	 1	 left	 LineStimuli//allStim/stimNo95r15c8v3.3.jpg	 l	 2.964	 GoodTrial	 allStim	 ra
25	 2	 1	 left	 LineStimuli//allStim/stimNo94r13c7v2.8.jpg	 l	 1.872	 GoodTrial	 allStim	 ra
26	 2	 0	 x	 LineStimuli//allStim/stimNo152r0c0v2.3.jpg	 r	 11.895	 GoodTrial	 allStim	 ra
27	 2	 1	 left	 LineStimuli//allStim/stimNo114r7c8v2.3.jpg	 l	 2.202	 GoodTrial	 allStim	 ra
28	 2	 1	 left	 LineStimuli//allStim/stimNo112r3c2v2.3.jpg	 l	 2.533	 GoodTrial	 allStim	 ra
29	 2	 1	 left	 LineStimuli//allStim/stimNo116r7c7v1.5.jpg	 l	 15.671	 GoodTrial	 allStim	 ra
30	 2	 1	 right	 LineStimuli//allStim/stimNo117r6c17v3.8.jpg	 l	 1.849	 GoodTrial	 allStim	 ra
31	 2	 0	 x	 LineStimuli//allStim/stimNo133r0c0v1.5.jpg	 r	 29.637	 GoodTrial	 allStim	 ra
32	 2	 0	 x	 LineStimuli//allStim/stimNo160r0c0v1.5.jpg	 r	 35.248	 GoodTrial	 allStim	 ra
33	 2	 1	 right	 LineStimuli//allStim/stimNo112r5c15v3.3.jpg	 l	 1.985	 GoodTrial	 allStim	 ra
34	 2	 0	 x	 LineStimuli//allStim/stimNo131r0c0v1.8.jpg	 r	 18.625	 GoodTrial	 allStim	 ra
35	 2	 0	 x	 LineStimuli//allStim/stimNo150r0c0v2.3.jpg	 r	 9.156	 GoodTrial	 allStim	 ra
36	 2	 0	 x	 LineStimuli//allStim/stimNo128r0c0v2.3.jpg	 r	 7.801	 GoodTrial	 allStim	 ra
37	 2	 0	 x	 LineStimuli//allStim/stimNo160r0c0v2.8.jpg	 r	 7.718	 GoodTrial	 allStim	 ra
38	 2	 0	 x	 LineStimuli//allStim/stimNo139r0c0v1.5.jpg	 r	 39.431	 GoodTrial	 allStim	 ra
39	 2	 0	 x	 LineStimuli//allStim/stimNo152r0c0v4.3.jpg	 r	 8.903	 GoodTrial	 allStim	 ra
40	 2	 0	 x	 LineStimuli//allStim/stimNo159r0c0v2.8.jpg	 r	 6.549	 GoodTrial	 allStim	 ra
