Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//2.3/stimNo151r0c0v2.3.jpg	 l	 2.200	 GoodTrial	 2.3	 bl
2	 1	 1	 right	 LineStimuli//2.3/stimNo84r15c14v2.3.jpg	 l	 1.822	 GoodTrial	 2.3	 bl
3	 1	 0	 x	 LineStimuli//2.3/stimNo156r0c0v2.3.jpg	 r	 2.138	 GoodTrial	 2.3	 bl
4	 1	 1	 left	 LineStimuli//2.3/stimNo112r3c2v2.3.jpg	 l	 1.704	 GoodTrial	 2.3	 bl
5	 1	 1	 left	 LineStimuli//2.3/stimNo81r4c3v2.3.jpg	 l	 1.660	 GoodTrial	 2.3	 bl
6	 1	 0	 x	 LineStimuli//2.3/stimNo138r0c0v2.3.jpg	 r	 2.002	 GoodTrial	 2.3	 bl
7	 1	 0	 x	 LineStimuli//2.3/stimNo134r0c0v2.3.jpg	 r	 1.694	 GoodTrial	 2.3	 bl
8	 1	 0	 x	 LineStimuli//2.3/stimNo157r0c0v2.3.jpg	 r	 1.855	 GoodTrial	 2.3	 bl
9	 1	 1	 left	 LineStimuli//2.3/stimNo115r7c3v2.3.jpg	 l	 1.580	 GoodTrial	 2.3	 bl
10	 1	 0	 x	 LineStimuli//2.3/stimNo147r0c0v2.3.jpg	 r	 1.742	 GoodTrial	 2.3	 bl
11	 1	 1	 right	 LineStimuli//2.3/stimNo105r14c14v2.3.jpg	 l	 1.684	 GoodTrial	 2.3	 bl
12	 1	 0	 x	 LineStimuli//2.3/stimNo129r0c0v2.3.jpg	 r	 1.734	 GoodTrial	 2.3	 bl
13	 1	 1	 right	 LineStimuli//2.3/stimNo92r10c17v2.3.jpg	 r	 1.710	 GoodTrial	 2.3	 bl
14	 1	 0	 x	 LineStimuli//2.3/stimNo158r0c0v2.3.jpg	 r	 2.106	 GoodTrial	 2.3	 bl
15	 1	 1	 left	 LineStimuli//2.3/stimNo100r8c6v2.3.jpg	 l	 1.812	 GoodTrial	 2.3	 bl
16	 1	 0	 x	 LineStimuli//2.3/stimNo144r0c0v2.3.jpg	 r	 2.102	 GoodTrial	 2.3	 bl
17	 1	 0	 x	 LineStimuli//2.3/stimNo149r0c0v2.3.jpg	 r	 1.836	 GoodTrial	 2.3	 bl
18	 1	 0	 x	 LineStimuli//2.3/stimNo131r0c0v2.3.jpg	 r	 1.812	 GoodTrial	 2.3	 bl
19	 1	 1	 right	 LineStimuli//2.3/stimNo101r8c14v2.3.jpg	 l	 1.613	 GoodTrial	 2.3	 bl
20	 1	 0	 x	 LineStimuli//2.3/stimNo146r0c0v2.3.jpg	 r	 1.672	 GoodTrial	 2.3	 bl
21	 1	 0	 x	 LineStimuli//2.3/stimNo136r0c0v2.3.jpg	 r	 1.778	 GoodTrial	 2.3	 bl
22	 1	 0	 x	 LineStimuli//2.3/stimNo141r0c0v2.3.jpg	 r	 1.806	 GoodTrial	 2.3	 bl
23	 1	 1	 left	 LineStimuli//2.3/stimNo97r3c3v2.3.jpg	 l	 1.640	 GoodTrial	 2.3	 bl
24	 1	 1	 right	 LineStimuli//2.3/stimNo102r6c18v2.3.jpg	 l	 1.923	 GoodTrial	 2.3	 bl
25	 1	 1	 left	 LineStimuli//2.3/stimNo82r12c4v2.3.jpg	 l	 1.758	 GoodTrial	 2.3	 bl
26	 1	 1	 right	 LineStimuli//2.3/stimNo118r4c17v2.3.jpg	 l	 1.534	 GoodTrial	 2.3	 bl
27	 1	 0	 x	 LineStimuli//2.3/stimNo150r0c0v2.3.jpg	 r	 1.958	 GoodTrial	 2.3	 bl
28	 1	 1	 right	 LineStimuli//2.3/stimNo99r2c13v2.3.jpg	 r	 2.379	 GoodTrial	 2.3	 bl
29	 1	 1	 left	 LineStimuli//2.3/stimNo117r11c8v2.3.jpg	 l	 1.750	 GoodTrial	 2.3	 bl
30	 1	 0	 x	 LineStimuli//2.3/stimNo143r0c0v2.3.jpg	 r	 2.072	 GoodTrial	 2.3	 bl
31	 1	 1	 right	 LineStimuli//2.3/stimNo87r13c19v2.3.jpg	 l	 1.655	 GoodTrial	 2.3	 bl
32	 1	 1	 right	 LineStimuli//2.3/stimNo109r2c17v2.3.jpg	 l	 1.783	 GoodTrial	 2.3	 bl
33	 1	 1	 left	 LineStimuli//2.3/stimNo94r8c9v2.3.jpg	 l	 1.618	 GoodTrial	 2.3	 bl
34	 1	 1	 right	 LineStimuli//2.3/stimNo91r11c20v2.3.jpg	 l	 1.656	 GoodTrial	 2.3	 bl
35	 1	 1	 left	 LineStimuli//2.3/stimNo86r8c9v2.3.jpg	 l	 1.608	 GoodTrial	 2.3	 bl
36	 1	 0	 x	 LineStimuli//2.3/stimNo126r0c0v2.3.jpg	 r	 2.467	 GoodTrial	 2.3	 bl
37	 1	 1	 right	 LineStimuli//2.3/stimNo90r14c21v2.3.jpg	 l	 2.331	 GoodTrial	 2.3	 bl
38	 1	 1	 right	 LineStimuli//2.3/stimNo107r11c15v2.3.jpg	 l	 1.713	 GoodTrial	 2.3	 bl
39	 1	 1	 left	 LineStimuli//2.3/stimNo116r2c2v2.3.jpg	 l	 1.975	 GoodTrial	 2.3	 bl
40	 1	 1	 left	 LineStimuli//2.3/stimNo83r14c4v2.3.jpg	 l	 1.771	 GoodTrial	 2.3	 bl
41	 1	 0	 x	 LineStimuli//2.3/stimNo155r0c0v2.3.jpg	 r	 3.421	 GoodTrial	 2.3	 bl
42	 1	 1	 left	 LineStimuli//2.3/stimNo106r9c9v2.3.jpg	 l	 1.751	 GoodTrial	 2.3	 bl
43	 1	 1	 left	 LineStimuli//2.3/stimNo95r13c9v2.3.jpg	 l	 1.689	 GoodTrial	 2.3	 bl
44	 1	 0	 x	 LineStimuli//2.3/stimNo127r0c0v2.3.jpg	 r	 2.117	 GoodTrial	 2.3	 bl
45	 1	 0	 x	 LineStimuli//2.3/stimNo137r0c0v2.3.jpg	 r	 2.077	 GoodTrial	 2.3	 bl
46	 1	 0	 x	 LineStimuli//2.3/stimNo139r0c0v2.3.jpg	 r	 1.775	 GoodTrial	 2.3	 bl
47	 1	 1	 right	 LineStimuli//2.3/stimNo85r4c15v2.3.jpg	 l	 1.618	 GoodTrial	 2.3	 bl
48	 1	 1	 left	 LineStimuli//2.3/stimNo88r15c2v2.3.jpg	 l	 1.669	 GoodTrial	 2.3	 bl
49	 1	 0	 x	 LineStimuli//2.3/stimNo122r0c0v2.3.jpg	 r	 1.949	 GoodTrial	 2.3	 bl
50	 1	 0	 x	 LineStimuli//2.3/stimNo123r0c0v2.3.jpg	 r	 1.739	 GoodTrial	 2.3	 bl
1	 2	 0	 x	 LineStimuli//1.5/stimNo146r0c0v1.5.jpg	 l	 2.097	 GoodTrial	 1.5	 bl
2	 2	 0	 x	 LineStimuli//1.5/stimNo147r0c0v1.5.jpg	 r	 3.291	 GoodTrial	 1.5	 bl
3	 2	 0	 x	 LineStimuli//1.5/stimNo155r0c0v1.5.jpg	 r	 1.957	 GoodTrial	 1.5	 bl
4	 2	 0	 x	 LineStimuli//1.5/stimNo149r0c0v1.5.jpg	 r	 1.941	 GoodTrial	 1.5	 bl
5	 2	 0	 x	 LineStimuli//1.5/stimNo156r0c0v1.5.jpg	 r	 1.869	 GoodTrial	 1.5	 bl
6	 2	 1	 left	 LineStimuli//1.5/stimNo112r9c5v1.5.jpg	 r	 1.730	 GoodTrial	 1.5	 bl
7	 2	 0	 x	 LineStimuli//1.5/stimNo129r0c0v1.5.jpg	 r	 2.275	 GoodTrial	 1.5	 bl
8	 2	 0	 x	 LineStimuli//1.5/stimNo130r0c0v1.5.jpg	 r	 2.392	 GoodTrial	 1.5	 bl
9	 2	 1	 right	 LineStimuli//1.5/stimNo104r5c18v1.5.jpg	 r	 1.735	 GoodTrial	 1.5	 bl
10	 2	 1	 left	 LineStimuli//1.5/stimNo99r10c3v1.5.jpg	 r	 2.355	 GoodTrial	 1.5	 bl
11	 2	 1	 left	 LineStimuli//1.5/stimNo87r12c5v1.5.jpg	 x	 2.987	 GoodTrial	 1.5	 bl
12	 2	 0	 x	 LineStimuli//1.5/stimNo148r0c0v1.5.jpg	 r	 3.336	 GoodTrial	 1.5	 bl
13	 2	 0	 x	 LineStimuli//1.5/stimNo160r0c0v1.5.jpg	 l	 1.994	 GoodTrial	 1.5	 bl
14	 2	 1	 left	 LineStimuli//1.5/stimNo96r15c4v1.5.jpg	 r	 2.793	 GoodTrial	 1.5	 bl
15	 2	 0	 x	 LineStimuli//1.5/stimNo131r0c0v1.5.jpg	 r	 3.750	 GoodTrial	 1.5	 bl
16	 2	 1	 right	 LineStimuli//1.5/stimNo93r14c18v1.5.jpg	 r	 3.328	 GoodTrial	 1.5	 bl
17	 2	 1	 left	 LineStimuli//1.5/stimNo85r2c5v1.5.jpg	 r	 4.304	 GoodTrial	 1.5	 bl
18	 2	 0	 x	 LineStimuli//1.5/stimNo144r0c0v1.5.jpg	 r	 4.608	 GoodTrial	 1.5	 bl
19	 2	 1	 right	 LineStimuli//1.5/stimNo103r13c17v1.5.jpg	 r	 2.429	 GoodTrial	 1.5	 bl
20	 2	 0	 x	 LineStimuli//1.5/stimNo139r0c0v1.5.jpg	 r	 5.204	 GoodTrial	 1.5	 bl
21	 2	 0	 x	 LineStimuli//1.5/stimNo157r0c0v1.5.jpg	 r	 4.224	 GoodTrial	 1.5	 bl
22	 2	 1	 right	 LineStimuli//1.5/stimNo86r6c16v1.5.jpg	 r	 3.663	 GoodTrial	 1.5	 bl
23	 2	 0	 x	 LineStimuli//1.5/stimNo132r0c0v1.5.jpg	 r	 6.002	 GoodTrial	 1.5	 bl
24	 2	 1	 right	 LineStimuli//1.5/stimNo81r6c17v1.5.jpg	 l	 1.866	 GoodTrial	 1.5	 bl
25	 2	 1	 right	 LineStimuli//1.5/stimNo84r3c18v1.5.jpg	 r	 2.943	 GoodTrial	 1.5	 bl
26	 2	 1	 left	 LineStimuli//1.5/stimNo110r7c3v1.5.jpg	 r	 4.576	 GoodTrial	 1.5	 bl
27	 2	 1	 left	 LineStimuli//1.5/stimNo88r6c7v1.5.jpg	 r	 4.392	 GoodTrial	 1.5	 bl
28	 2	 1	 left	 LineStimuli//1.5/stimNo97r15c6v1.5.jpg	 r	 5.482	 GoodTrial	 1.5	 bl
29	 2	 1	 left	 LineStimuli//1.5/stimNo114r4c4v1.5.jpg	 r	 7.273	 GoodTrial	 1.5	 bl
30	 2	 1	 left	 LineStimuli//1.5/stimNo91r9c3v1.5.jpg	 l	 2.632	 GoodTrial	 1.5	 bl
31	 2	 1	 right	 LineStimuli//1.5/stimNo118r9c20v1.5.jpg	 l	 2.443	 GoodTrial	 1.5	 bl
32	 2	 1	 right	 LineStimuli//1.5/stimNo111r7c17v1.5.jpg	 r	 2.792	 GoodTrial	 1.5	 bl
33	 2	 1	 right	 LineStimuli//1.5/stimNo82r11c15v1.5.jpg	 x	 0.240	 EARLY_RESPONSE	 1.5	 bl
34	 2	 1	 left	 LineStimuli//1.5/stimNo106r3c7v1.5.jpg	 r	 4.657	 GoodTrial	 1.5	 bl
35	 2	 1	 right	 LineStimuli//1.5/stimNo95r6c14v1.5.jpg	 r	 5.558	 GoodTrial	 1.5	 bl
36	 2	 0	 x	 LineStimuli//1.5/stimNo136r0c0v1.5.jpg	 r	 6.079	 GoodTrial	 1.5	 bl
37	 2	 1	 left	 LineStimuli//1.5/stimNo94r10c6v1.5.jpg	 r	 7.368	 GoodTrial	 1.5	 bl
38	 2	 0	 x	 LineStimuli//1.5/stimNo159r0c0v1.5.jpg	 r	 6.213	 GoodTrial	 1.5	 bl
39	 2	 0	 x	 LineStimuli//1.5/stimNo151r0c0v1.5.jpg	 r	 6.600	 GoodTrial	 1.5	 bl
40	 2	 0	 x	 LineStimuli//1.5/stimNo150r0c0v1.5.jpg	 r	 6.357	 GoodTrial	 1.5	 bl
41	 2	 1	 right	 LineStimuli//1.5/stimNo115r14c18v1.5.jpg	 r	 5.869	 GoodTrial	 1.5	 bl
