Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 right	 LineStimuli//3.3/stimNo113r13c15v3.3.jpg	 l	 6.121	 GoodTrial	 allStim	 si
2	 1	 1	 left	 LineStimuli//3.8/stimNo104r12c8v3.8.jpg	 l	 1.756	 GoodTrial	 allStim	 si
3	 1	 1	 left	 LineStimuli//4.3/stimNo100r8c3v4.3.jpg	 l	 1.862	 GoodTrial	 allStim	 si
4	 1	 1	 left	 LineStimuli//4.3/stimNo105r14c6v4.3.jpg	 l	 1.671	 GoodTrial	 allStim	 si
5	 1	 0	 x	 LineStimuli//3.8/stimNo122r0c0v3.8.jpg	 r	 3.325	 GoodTrial	 allStim	 si
6	 1	 0	 x	 LineStimuli//3.3/stimNo123r0c0v3.3.jpg	 r	 3.178	 GoodTrial	 allStim	 si
7	 1	 0	 x	 LineStimuli//2.8/stimNo145r0c0v2.8.jpg	 r	 2.841	 GoodTrial	 allStim	 si
8	 1	 0	 x	 LineStimuli//2.3/stimNo133r0c0v2.3.jpg	 r	 2.553	 GoodTrial	 allStim	 si
9	 1	 0	 x	 LineStimuli//1.8/stimNo144r0c0v1.8.jpg	 r	 8.253	 GoodTrial	 allStim	 si
10	 1	 0	 x	 LineStimuli//1.5/stimNo142r0c0v1.5.jpg	 r	 5.759	 GoodTrial	 allStim	 si
11	 1	 0	 x	 LineStimuli//1.5/stimNo137r0c0v1.5.jpg	 r	 4.813	 GoodTrial	 allStim	 si
12	 1	 1	 left	 LineStimuli//1.8/stimNo116r4c7v1.8.jpg	 r	 2.982	 GoodTrial	 allStim	 si
13	 1	 1	 right	 LineStimuli//2.3/stimNo118r4c17v2.3.jpg	 l	 1.892	 GoodTrial	 allStim	 si
14	 1	 0	 x	 LineStimuli//2.8/stimNo147r0c0v2.8.jpg	 r	 4.445	 GoodTrial	 allStim	 si
15	 1	 1	 right	 LineStimuli//3.3/stimNo84r6c16v3.3.jpg	 l	 1.689	 GoodTrial	 allStim	 si
16	 1	 1	 right	 LineStimuli//3.8/stimNo107r9c18v3.8.jpg	 l	 1.663	 GoodTrial	 allStim	 si
17	 1	 1	 left	 LineStimuli//4.3/stimNo83r4c2v4.3.jpg	 l	 1.722	 GoodTrial	 allStim	 si
18	 1	 1	 right	 LineStimuli//4.3/stimNo117r10c21v4.3.jpg	 l	 1.889	 GoodTrial	 allStim	 si
19	 1	 0	 x	 LineStimuli//3.8/stimNo149r0c0v3.8.jpg	 r	 3.997	 GoodTrial	 allStim	 si
20	 1	 0	 x	 LineStimuli//3.3/stimNo128r0c0v3.3.jpg	 r	 3.487	 GoodTrial	 allStim	 si
21	 1	 0	 x	 LineStimuli//2.8/stimNo145r0c0v2.8.jpg	 r	 2.837	 GoodTrial	 allStim	 si
22	 1	 1	 left	 LineStimuli//2.3/stimNo95r13c9v2.3.jpg	 l	 1.907	 GoodTrial	 allStim	 si
23	 1	 1	 left	 LineStimuli//1.8/stimNo116r4c7v1.8.jpg	 l	 3.313	 GoodTrial	 allStim	 si
24	 1	 0	 x	 LineStimuli//1.5/stimNo135r0c0v1.5.jpg	 r	 3.981	 GoodTrial	 allStim	 si
25	 1	 0	 x	 LineStimuli//1.5/stimNo152r0c0v1.5.jpg	 r	 3.505	 GoodTrial	 allStim	 si
26	 1	 0	 x	 LineStimuli//1.8/stimNo148r0c0v1.8.jpg	 r	 3.611	 GoodTrial	 allStim	 si
27	 1	 0	 x	 LineStimuli//2.3/stimNo139r0c0v2.3.jpg	 r	 3.323	 GoodTrial	 allStim	 si
28	 1	 1	 left	 LineStimuli//2.8/stimNo98r15c2v2.8.jpg	 l	 1.760	 GoodTrial	 allStim	 si
29	 1	 0	 x	 LineStimuli//3.3/stimNo149r0c0v3.3.jpg	 r	 3.591	 GoodTrial	 allStim	 si
30	 1	 1	 left	 LineStimuli//3.8/stimNo119r9c8v3.8.jpg	 l	 1.808	 GoodTrial	 allStim	 si
31	 1	 0	 x	 LineStimuli//4.3/stimNo130r0c0v4.3.jpg	 r	 3.365	 GoodTrial	 allStim	 si
32	 1	 1	 right	 LineStimuli//4.3/stimNo117r10c21v4.3.jpg	 r	 2.952	 GoodTrial	 allStim	 si
33	 1	 1	 left	 LineStimuli//3.8/stimNo118r4c8v3.8.jpg	 l	 1.598	 GoodTrial	 allStim	 si
34	 1	 1	 left	 LineStimuli//3.3/stimNo104r4c4v3.3.jpg	 l	 1.537	 GoodTrial	 allStim	 si
35	 1	 0	 x	 LineStimuli//2.8/stimNo143r0c0v2.8.jpg	 r	 2.691	 GoodTrial	 allStim	 si
36	 1	 0	 x	 LineStimuli//2.3/stimNo122r0c0v2.3.jpg	 r	 3.773	 GoodTrial	 allStim	 si
37	 1	 0	 x	 LineStimuli//1.8/stimNo150r0c0v1.8.jpg	 r	 3.025	 GoodTrial	 allStim	 si
38	 1	 0	 x	 LineStimuli//1.5/stimNo122r0c0v1.5.jpg	 r	 3.346	 GoodTrial	 allStim	 si
39	 1	 1	 left	 LineStimuli//1.5/stimNo120r14c2v1.5.jpg	 l	 1.822	 GoodTrial	 allStim	 si
40	 1	 0	 x	 LineStimuli//1.8/stimNo155r0c0v1.8.jpg	 r	 4.262	 GoodTrial	 allStim	 si
41	 1	 1	 left	 LineStimuli//2.3/stimNo86r8c9v2.3.jpg	 l	 1.602	 GoodTrial	 allStim	 si
42	 1	 1	 left	 LineStimuli//2.8/stimNo88r15c3v2.8.jpg	 l	 1.600	 GoodTrial	 allStim	 si
43	 1	 0	 x	 LineStimuli//3.3/stimNo138r0c0v3.3.jpg	 r	 2.072	 GoodTrial	 allStim	 si
44	 1	 0	 x	 LineStimuli//3.8/stimNo121r0c0v3.8.jpg	 r	 2.869	 GoodTrial	 allStim	 si
45	 1	 1	 right	 LineStimuli//4.3/stimNo91r9c13v4.3.jpg	 l	 1.710	 GoodTrial	 allStim	 si
46	 1	 0	 x	 LineStimuli//4.3/stimNo125r0c0v4.3.jpg	 r	 2.515	 GoodTrial	 allStim	 si
47	 1	 1	 right	 LineStimuli//3.8/stimNo85r3c13v3.8.jpg	 l	 1.539	 GoodTrial	 allStim	 si
48	 1	 1	 left	 LineStimuli//3.3/stimNo85r6c4v3.3.jpg	 l	 2.062	 GoodTrial	 allStim	 si
49	 1	 1	 right	 LineStimuli//2.8/stimNo117r11c17v2.8.jpg	 l	 2.508	 GoodTrial	 allStim	 si
50	 1	 1	 left	 LineStimuli//2.3/stimNo114r7c8v2.3.jpg	 l	 1.802	 GoodTrial	 allStim	 si
1	 2	 0	 x	 LineStimuli//3.3/stimNo158r0c0v3.3.jpg	 r	 5.120	 GoodTrial	 allStim	 si
2	 2	 0	 x	 LineStimuli//3.8/stimNo129r0c0v3.8.jpg	 r	 4.128	 GoodTrial	 allStim	 si
3	 2	 1	 left	 LineStimuli//4.3/stimNo83r4c2v4.3.jpg	 l	 1.680	 GoodTrial	 allStim	 si
4	 2	 0	 x	 LineStimuli//4.3/stimNo138r0c0v4.3.jpg	 r	 3.628	 GoodTrial	 allStim	 si
5	 2	 0	 x	 LineStimuli//3.8/stimNo138r0c0v3.8.jpg	 r	 2.536	 GoodTrial	 allStim	 si
6	 2	 0	 x	 LineStimuli//3.3/stimNo140r0c0v3.3.jpg	 r	 2.390	 GoodTrial	 allStim	 si
7	 2	 1	 right	 LineStimuli//2.8/stimNo81r8c14v2.8.jpg	 l	 1.730	 GoodTrial	 allStim	 si
8	 2	 1	 left	 LineStimuli//2.3/stimNo100r8c6v2.3.jpg	 l	 1.661	 GoodTrial	 allStim	 si
9	 2	 0	 x	 LineStimuli//1.8/stimNo129r0c0v1.8.jpg	 r	 3.763	 GoodTrial	 allStim	 si
10	 2	 0	 x	 LineStimuli//1.5/stimNo146r0c0v1.5.jpg	 r	 3.056	 GoodTrial	 allStim	 si
11	 2	 1	 left	 LineStimuli//1.5/stimNo110r7c3v1.5.jpg	 r	 4.784	 GoodTrial	 allStim	 si
12	 2	 1	 right	 LineStimuli//1.8/stimNo114r8c13v1.8.jpg	 l	 1.976	 GoodTrial	 allStim	 si
13	 2	 0	 x	 LineStimuli//2.3/stimNo139r0c0v2.3.jpg	 r	 3.772	 GoodTrial	 allStim	 si
14	 2	 0	 x	 LineStimuli//2.8/stimNo128r0c0v2.8.jpg	 r	 3.438	 GoodTrial	 allStim	 si
15	 2	 0	 x	 LineStimuli//3.3/stimNo121r0c0v3.3.jpg	 r	 3.958	 GoodTrial	 allStim	 si
16	 2	 1	 left	 LineStimuli//3.8/stimNo104r12c8v3.8.jpg	 l	 1.665	 GoodTrial	 allStim	 si
17	 2	 0	 x	 LineStimuli//4.3/stimNo150r0c0v4.3.jpg	 r	 3.112	 GoodTrial	 allStim	 si
18	 2	 1	 left	 LineStimuli//4.3/stimNo105r14c6v4.3.jpg	 l	 1.560	 GoodTrial	 allStim	 si
19	 2	 1	 left	 LineStimuli//3.8/stimNo109r11c8v3.8.jpg	 l	 1.609	 GoodTrial	 allStim	 si
20	 2	 1	 left	 LineStimuli//3.3/stimNo90r2c9v3.3.jpg	 l	 1.850	 GoodTrial	 allStim	 si
21	 2	 0	 x	 LineStimuli//2.8/stimNo146r0c0v2.8.jpg	 r	 2.600	 GoodTrial	 allStim	 si
22	 2	 1	 right	 LineStimuli//2.3/stimNo90r14c21v2.3.jpg	 l	 2.762	 GoodTrial	 allStim	 si
23	 2	 1	 right	 LineStimuli//1.8/stimNo92r10c18v1.8.jpg	 r	 2.411	 GoodTrial	 allStim	 si
24	 2	 0	 x	 LineStimuli//1.5/stimNo141r0c0v1.5.jpg	 r	 5.161	 GoodTrial	 allStim	 si
25	 2	 0	 x	 LineStimuli//1.5/stimNo139r0c0v1.5.jpg	 r	 4.552	 GoodTrial	 allStim	 si
