Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 left	 LineStimuli//3.8/stimNo115r14c10v3.8.jpg	 l	 7.915	 GoodTrial	 3.8	 bl
2	 1	 1	 left	 LineStimuli//3.8/stimNo109r11c8v3.8.jpg	 l	 2.441	 GoodTrial	 3.8	 bl
3	 1	 1	 left	 LineStimuli//3.8/stimNo113r14c9v3.8.jpg	 l	 4.419	 GoodTrial	 3.8	 bl
4	 1	 0	 x	 LineStimuli//3.8/stimNo146r0c0v3.8.jpg	 r	 7.427	 GoodTrial	 3.8	 bl
5	 1	 1	 right	 LineStimuli//3.8/stimNo95r5c21v3.8.jpg	 l	 3.547	 GoodTrial	 3.8	 bl
6	 1	 0	 x	 LineStimuli//3.8/stimNo131r0c0v3.8.jpg	 r	 8.156	 GoodTrial	 3.8	 bl
7	 1	 0	 x	 LineStimuli//3.8/stimNo136r0c0v3.8.jpg	 r	 6.952	 GoodTrial	 3.8	 bl
8	 1	 1	 right	 LineStimuli//3.8/stimNo90r8c17v3.8.jpg	 l	 2.226	 GoodTrial	 3.8	 bl
9	 1	 1	 right	 LineStimuli//3.8/stimNo107r9c18v3.8.jpg	 r	 2.303	 GoodTrial	 3.8	 bl
10	 1	 0	 x	 LineStimuli//3.8/stimNo148r0c0v3.8.jpg	 r	 4.420	 GoodTrial	 3.8	 bl
11	 1	 0	 x	 LineStimuli//3.8/stimNo154r0c0v3.8.jpg	 r	 5.796	 GoodTrial	 3.8	 bl
12	 1	 1	 left	 LineStimuli//3.8/stimNo103r11c7v3.8.jpg	 l	 2.460	 GoodTrial	 3.8	 bl
13	 1	 1	 left	 LineStimuli//3.8/stimNo110r7c9v3.8.jpg	 l	 2.394	 GoodTrial	 3.8	 bl
14	 1	 0	 x	 LineStimuli//3.8/stimNo145r0c0v3.8.jpg	 r	 4.363	 GoodTrial	 3.8	 bl
15	 1	 0	 x	 LineStimuli//3.8/stimNo127r0c0v3.8.jpg	 r	 5.727	 GoodTrial	 3.8	 bl
16	 1	 1	 left	 LineStimuli//3.8/stimNo116r7c3v3.8.jpg	 l	 3.686	 GoodTrial	 3.8	 bl
17	 1	 0	 x	 LineStimuli//3.8/stimNo124r0c0v3.8.jpg	 r	 6.073	 GoodTrial	 3.8	 bl
18	 1	 1	 right	 LineStimuli//3.8/stimNo87r6c13v3.8.jpg	 l	 2.936	 GoodTrial	 3.8	 bl
19	 1	 1	 left	 LineStimuli//3.8/stimNo106r9c9v3.8.jpg	 r	 4.264	 GoodTrial	 3.8	 bl
20	 1	 1	 left	 LineStimuli//3.8/stimNo98r2c9v3.8.jpg	 l	 2.549	 GoodTrial	 3.8	 bl
