Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//allStim/stimNo148r0c0v1.5.jpg	 r	 15.597	 GoodTrial	 allStim	 ra
2	 1	 1	 left	 LineStimuli//allStim/stimNo83r12c7v1.5.jpg	 r	 9.963	 GoodTrial	 allStim	 ra
3	 1	 1	 right	 LineStimuli//allStim/stimNo99r12c16v1.8.jpg	 l	 2.692	 GoodTrial	 allStim	 ra
4	 1	 1	 right	 LineStimuli//allStim/stimNo108r9c21v1.8.jpg	 l	 3.822	 GoodTrial	 allStim	 ra
5	 1	 0	 x	 LineStimuli//allStim/stimNo127r0c0v1.8.jpg	 r	 9.066	 GoodTrial	 allStim	 ra
6	 1	 0	 x	 LineStimuli//allStim/stimNo127r0c0v2.8.jpg	 r	 4.104	 GoodTrial	 allStim	 ra
7	 1	 1	 left	 LineStimuli//allStim/stimNo112r9c5v1.5.jpg	 l	 5.640	 GoodTrial	 allStim	 ra
8	 1	 1	 right	 LineStimuli//allStim/stimNo99r9c18v2.8.jpg	 l	 3.663	 GoodTrial	 allStim	 ra
9	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v4.3.jpg	 r	 3.828	 GoodTrial	 allStim	 ra
10	 1	 1	 left	 LineStimuli//allStim/stimNo120r14c2v1.5.jpg	 l	 2.338	 GoodTrial	 allStim	 ra
11	 1	 0	 x	 LineStimuli//allStim/stimNo122r0c0v3.8.jpg	 r	 3.572	 GoodTrial	 allStim	 ra
12	 1	 1	 right	 LineStimuli//allStim/stimNo95r6c14v1.5.jpg	 r	 9.591	 GoodTrial	 allStim	 ra
13	 1	 1	 left	 LineStimuli//allStim/stimNo115r7c3v2.3.jpg	 l	 1.728	 GoodTrial	 allStim	 ra
14	 1	 0	 x	 LineStimuli//allStim/stimNo156r0c0v2.8.jpg	 r	 4.053	 GoodTrial	 allStim	 ra
15	 1	 1	 right	 LineStimuli//allStim/stimNo105r14c14v2.3.jpg	 l	 2.664	 GoodTrial	 allStim	 ra
16	 1	 1	 left	 LineStimuli//allStim/stimNo111r10c9v4.3.jpg	 l	 1.792	 GoodTrial	 allStim	 ra
17	 1	 1	 left	 LineStimuli//allStim/stimNo116r4c7v2.8.jpg	 l	 1.933	 GoodTrial	 allStim	 ra
18	 1	 1	 left	 LineStimuli//allStim/stimNo94r13c7v2.8.jpg	 l	 2.030	 GoodTrial	 allStim	 ra
19	 1	 1	 right	 LineStimuli//allStim/stimNo94r6c17v3.8.jpg	 l	 1.957	 GoodTrial	 allStim	 ra
20	 1	 1	 left	 LineStimuli//allStim/stimNo86r5c7v3.3.jpg	 l	 1.619	 GoodTrial	 allStim	 ra
21	 1	 1	 right	 LineStimuli//allStim/stimNo102r10c19v4.3.jpg	 l	 1.551	 GoodTrial	 allStim	 ra
22	 1	 0	 x	 LineStimuli//allStim/stimNo123r0c0v3.8.jpg	 r	 4.060	 GoodTrial	 allStim	 ra
23	 1	 1	 right	 LineStimuli//allStim/stimNo111r4c21v1.8.jpg	 r	 13.539	 GoodTrial	 allStim	 ra
24	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v1.5.jpg	 r	 14.981	 GoodTrial	 allStim	 ra
25	 1	 1	 right	 LineStimuli//allStim/stimNo90r15c13v1.8.jpg	 r	 10.300	 GoodTrial	 allStim	 ra
26	 1	 1	 right	 LineStimuli//allStim/stimNo107r2c17v3.3.jpg	 r	 2.302	 GoodTrial	 allStim	 ra
27	 1	 1	 right	 LineStimuli//allStim/stimNo85r4c15v2.8.jpg	 l	 2.155	 GoodTrial	 allStim	 ra
28	 1	 1	 right	 LineStimuli//allStim/stimNo102r14c17v1.8.jpg	 l	 2.381	 GoodTrial	 allStim	 ra
29	 1	 1	 right	 LineStimuli//allStim/stimNo84r6c16v3.3.jpg	 l	 1.917	 GoodTrial	 allStim	 ra
30	 1	 1	 left	 LineStimuli//allStim/stimNo115r3c4v3.3.jpg	 l	 1.971	 GoodTrial	 allStim	 ra
31	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v2.8.jpg	 r	 4.396	 GoodTrial	 allStim	 ra
32	 1	 1	 right	 LineStimuli//allStim/stimNo112r6c15v1.8.jpg	 l	 2.029	 GoodTrial	 allStim	 ra
33	 1	 0	 x	 LineStimuli//allStim/stimNo156r0c0v1.5.jpg	 r	 23.087	 GoodTrial	 allStim	 ra
34	 1	 1	 left	 LineStimuli//allStim/stimNo97r11c4v2.8.jpg	 l	 1.982	 GoodTrial	 allStim	 ra
35	 1	 1	 right	 LineStimuli//allStim/stimNo100r9c13v1.8.jpg	 l	 1.941	 GoodTrial	 allStim	 ra
36	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v3.8.jpg	 r	 3.433	 GoodTrial	 allStim	 ra
37	 1	 1	 right	 LineStimuli//allStim/stimNo107r2c19v1.5.jpg	 r	 17.420	 GoodTrial	 allStim	 ra
38	 1	 1	 left	 LineStimuli//allStim/stimNo95r13c9v2.3.jpg	 l	 1.928	 GoodTrial	 allStim	 ra
39	 1	 1	 right	 LineStimuli//allStim/stimNo100r8c13v2.8.jpg	 l	 1.753	 GoodTrial	 allStim	 ra
40	 1	 1	 left	 LineStimuli//allStim/stimNo110r7c3v1.5.jpg	 l	 14.660	 GoodTrial	 allStim	 ra
41	 1	 0	 x	 LineStimuli//allStim/stimNo156r0c0v3.3.jpg	 r	 3.420	 GoodTrial	 allStim	 ra
42	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.3.jpg	 r	 4.853	 GoodTrial	 allStim	 ra
43	 1	 0	 x	 LineStimuli//allStim/stimNo128r0c0v1.5.jpg	 l	 7.108	 GoodTrial	 allStim	 ra
44	 1	 0	 x	 LineStimuli//allStim/stimNo155r0c0v3.3.jpg	 r	 4.402	 GoodTrial	 allStim	 ra
45	 1	 1	 left	 LineStimuli//allStim/stimNo116r2c2v2.3.jpg	 r	 13.886	 GoodTrial	 allStim	 ra
46	 1	 1	 left	 LineStimuli//allStim/stimNo83r4c2v4.3.jpg	 l	 2.072	 GoodTrial	 allStim	 ra
47	 1	 1	 right	 LineStimuli//allStim/stimNo101r7c16v3.3.jpg	 l	 1.853	 GoodTrial	 allStim	 ra
48	 1	 1	 left	 LineStimuli//allStim/stimNo117r11c8v2.3.jpg	 l	 2.095	 GoodTrial	 allStim	 ra
49	 1	 1	 left	 LineStimuli//allStim/stimNo101r5c5v4.3.jpg	 l	 2.059	 GoodTrial	 allStim	 ra
50	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v4.3.jpg	 r	 3.691	 GoodTrial	 allStim	 ra
1	 2	 1	 right	 LineStimuli//allStim/stimNo88r9c14v3.3.jpg	 l	 1.604	 GoodTrial	 allStim	 ra
2	 2	 0	 x	 LineStimuli//allStim/stimNo160r0c0v3.3.jpg	 r	 3.573	 GoodTrial	 allStim	 ra
3	 2	 1	 right	 LineStimuli//allStim/stimNo118r5c16v2.8.jpg	 l	 2.131	 GoodTrial	 allStim	 ra
4	 2	 0	 x	 LineStimuli//allStim/stimNo142r0c0v2.3.jpg	 r	 2.730	 GoodTrial	 allStim	 ra
5	 2	 0	 x	 LineStimuli//allStim/stimNo126r0c0v1.8.jpg	 r	 3.294	 GoodTrial	 allStim	 ra
6	 2	 1	 left	 LineStimuli//allStim/stimNo86r15c6v2.8.jpg	 l	 1.792	 GoodTrial	 allStim	 ra
7	 2	 1	 left	 LineStimuli//allStim/stimNo119r15c7v3.3.jpg	 l	 1.694	 GoodTrial	 allStim	 ra
8	 2	 0	 x	 LineStimuli//allStim/stimNo126r0c0v4.3.jpg	 r	 2.723	 GoodTrial	 allStim	 ra
9	 2	 1	 left	 LineStimuli//allStim/stimNo90r10c4v4.3.jpg	 l	 1.681	 GoodTrial	 allStim	 ra
10	 2	 1	 left	 LineStimuli//allStim/stimNo105r6c5v1.8.jpg	 l	 2.866	 GoodTrial	 allStim	 ra
11	 2	 0	 x	 LineStimuli//allStim/stimNo159r0c0v2.3.jpg	 r	 3.746	 GoodTrial	 allStim	 ra
12	 2	 1	 left	 LineStimuli//allStim/stimNo104r2c4v2.3.jpg	 r	 3.485	 GoodTrial	 allStim	 ra
13	 2	 1	 left	 LineStimuli//allStim/stimNo106r9c9v2.3.jpg	 l	 1.711	 GoodTrial	 allStim	 ra
14	 2	 1	 right	 LineStimuli//allStim/stimNo120r8c14v3.3.jpg	 l	 2.326	 GoodTrial	 allStim	 ra
15	 2	 1	 right	 LineStimuli//allStim/stimNo82r9c21v3.8.jpg	 l	 2.997	 GoodTrial	 allStim	 ra
16	 2	 1	 left	 LineStimuli//allStim/stimNo88r15c2v2.3.jpg	 l	 3.266	 GoodTrial	 allStim	 ra
17	 2	 1	 right	 LineStimuli//allStim/stimNo106r13c20v2.8.jpg	 l	 1.991	 GoodTrial	 allStim	 ra
18	 2	 0	 x	 LineStimuli//allStim/stimNo157r0c0v2.3.jpg	 r	 6.339	 GoodTrial	 allStim	 ra
19	 2	 1	 right	 LineStimuli//allStim/stimNo92r14c21v2.8.jpg	 l	 1.842	 GoodTrial	 allStim	 ra
20	 2	 1	 right	 LineStimuli//allStim/stimNo92r10c17v2.3.jpg	 l	 1.796	 GoodTrial	 allStim	 ra
21	 2	 0	 x	 LineStimuli//allStim/stimNo126r0c0v1.5.jpg	 r	 9.411	 GoodTrial	 allStim	 ra
22	 2	 0	 x	 LineStimuli//allStim/stimNo147r0c0v1.8.jpg	 r	 4.371	 GoodTrial	 allStim	 ra
23	 2	 0	 x	 LineStimuli//allStim/stimNo137r0c0v3.8.jpg	 r	 3.130	 GoodTrial	 allStim	 ra
24	 2	 1	 right	 LineStimuli//allStim/stimNo109r2c17v2.3.jpg	 r	 3.944	 GoodTrial	 allStim	 ra
25	 2	 1	 left	 LineStimuli//allStim/stimNo97r11c4v2.8.jpg	 l	 1.786	 GoodTrial	 allStim	 ra
26	 2	 1	 right	 LineStimuli//allStim/stimNo112r6c15v1.8.jpg	 l	 2.487	 GoodTrial	 allStim	 ra
27	 2	 0	 x	 LineStimuli//allStim/stimNo151r0c0v2.3.jpg	 r	 5.669	 GoodTrial	 allStim	 ra
28	 2	 1	 right	 LineStimuli//allStim/stimNo117r10c21v4.3.jpg	 l	 1.632	 GoodTrial	 allStim	 ra
29	 2	 0	 x	 LineStimuli//allStim/stimNo135r0c0v4.3.jpg	 r	 2.585	 GoodTrial	 allStim	 ra
30	 2	 1	 right	 LineStimuli//allStim/stimNo115r14c18v1.5.jpg	 r	 8.446	 GoodTrial	 allStim	 ra
31	 2	 0	 x	 LineStimuli//allStim/stimNo122r0c0v2.8.jpg	 r	 4.332	 GoodTrial	 allStim	 ra
32	 2	 0	 x	 LineStimuli//allStim/stimNo131r0c0v1.8.jpg	 r	 3.730	 GoodTrial	 allStim	 ra
33	 2	 1	 left	 LineStimuli//allStim/stimNo109r15c7v3.3.jpg	 l	 2.085	 GoodTrial	 allStim	 ra
34	 2	 0	 x	 LineStimuli//allStim/stimNo154r0c0v4.3.jpg	 r	 3.318	 GoodTrial	 allStim	 ra
35	 2	 1	 left	 LineStimuli//allStim/stimNo96r6c9v2.8.jpg	 l	 2.024	 GoodTrial	 allStim	 ra
36	 2	 0	 x	 LineStimuli//allStim/stimNo138r0c0v4.3.jpg	 r	 2.159	 GoodTrial	 allStim	 ra
37	 2	 0	 x	 LineStimuli//allStim/stimNo123r0c0v3.3.jpg	 r	 4.704	 GoodTrial	 allStim	 ra
38	 2	 1	 left	 LineStimuli//allStim/stimNo99r10c3v1.5.jpg	 l	 2.065	 GoodTrial	 allStim	 ra
39	 2	 1	 left	 LineStimuli//allStim/stimNo117r11c8v2.3.jpg	 l	 2.034	 GoodTrial	 allStim	 ra
40	 2	 0	 x	 LineStimuli//allStim/stimNo143r0c0v2.8.jpg	 r	 4.083	 GoodTrial	 allStim	 ra
41	 2	 1	 left	 LineStimuli//allStim/stimNo110r6c7v4.3.jpg	 l	 1.608	 GoodTrial	 allStim	 ra
42	 2	 1	 right	 LineStimuli//allStim/stimNo107r2c17v3.3.jpg	 l	 2.200	 GoodTrial	 allStim	 ra
43	 2	 1	 right	 LineStimuli//allStim/stimNo118r11c13v4.3.jpg	 l	 1.567	 GoodTrial	 allStim	 ra
44	 2	 0	 x	 LineStimuli//allStim/stimNo160r0c0v2.3.jpg	 r	 6.133	 GoodTrial	 allStim	 ra
45	 2	 0	 x	 LineStimuli//allStim/stimNo146r0c0v1.5.jpg	 r	 6.123	 GoodTrial	 allStim	 ra
46	 2	 1	 left	 LineStimuli//allStim/stimNo118r4c8v3.8.jpg	 l	 1.751	 GoodTrial	 allStim	 ra
47	 2	 1	 left	 LineStimuli//allStim/stimNo93r8c2v3.8.jpg	 l	 2.057	 GoodTrial	 allStim	 ra
48	 2	 0	 x	 LineStimuli//allStim/stimNo142r0c0v1.5.jpg	 r	 5.848	 GoodTrial	 allStim	 ra
49	 2	 1	 left	 LineStimuli//allStim/stimNo84r3c9v2.8.jpg	 l	 1.888	 GoodTrial	 allStim	 ra
50	 2	 1	 left	 LineStimuli//allStim/stimNo119r9c8v3.8.jpg	 l	 1.508	 GoodTrial	 allStim	 ra
1	 3	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.8.jpg	 r	 2.880	 GoodTrial	 allStim	 ra
2	 3	 1	 right	 LineStimuli//allStim/stimNo109r2c17v2.3.jpg	 l	 3.125	 GoodTrial	 allStim	 ra
3	 3	 0	 x	 LineStimuli//allStim/stimNo126r0c0v4.3.jpg	 r	 2.345	 GoodTrial	 allStim	 ra
4	 3	 1	 right	 LineStimuli//allStim/stimNo101r12c17v3.8.jpg	 r	 0.512	 EARLY_RESPONSE	 allStim	 ra
5	 3	 0	 x	 LineStimuli//allStim/stimNo127r0c0v1.5.jpg	 r	 4.842	 GoodTrial	 allStim	 ra
6	 3	 1	 right	 LineStimuli//allStim/stimNo85r3c13v3.8.jpg	 l	 1.683	 GoodTrial	 allStim	 ra
